CountryID,Country and area,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
579,Norway,99.71,99.69,99.51,99.52,99.33,99.47,99.48,99.45,99.6,99.45,99.49,99.17,99.13,99.34,99.11,98.99,99.25,96.48,95.57,96.36,97.76,97.58,97.7,97.73,97.85,97.84
616,Poland,2.69,2.67,2.8,2.77,2.73,2.67,3.03,3.02,2.84,2.91,2.75,2.25,2.66,2.69,2.22,2.33,2.35,2.69,3.32,3.71,4.5,5.54,6.64,8.16,9.24,10.66
620,Portugal,16.9,28.05,34.26,25.59,43.24,38.78,33.87,18.1,27.34,31.69,18.91,35.52,24.5,14.95,29.53,31.13,28.9,33.72,48.33,41.5,37.46,53.34,55.61,42.76,50.43,35.48
642,Romania,21.59,23.02,23.66,28.17,25.68,30.64,35.29,36.07,28.46,27.7,29.32,24.05,29.23,34.01,29.28,25.89,26.48,27.26,33.7,26.25,25.38,34.38,41.26,39.3,41.39,37.5
643,Russian Federation,17.04,18.22,20.1,20.52,18.22,18.89,19.28,19.07,18.85,19.74,18.44,17.25,19.12,18.36,17.65,17.68,16.07,17.8,16.27,15.94,15.67,17.29,16.71,16,17.2,17.2
703,Slovakia,9.87,15.81,17.93,19.52,17.6,17.19,17.54,16.81,15.97,16.03,16.97,11.85,13.85,15.15,14.71,16.66,14.8,17.77,20.5,16.14,17.23,20.22,18.92,17.65,19.49,19.07
705,Slovenia,27.73,25.41,26.36,25.18,28.13,23.47,25.12,28.21,28.14,26.24,22.69,21.4,26.81,22.89,23.76,21.71,24.51,28.77,28.69,23.48,27.01,31.93,38.01,28.95,30.64,27.14
724,Spain,13.26,16.52,18.15,14.88,23.65,19.31,19.05,13.53,16.28,21.45,14.55,21.48,18.98,16.74,17.89,19.32,19.75,25.01,32.21,29.06,28.83,38.44,38.98,33.74,37.31,30.71
752,Sweden,51.13,51.62,41.61,46.01,36.91,46.43,47.45,46.54,54.44,49.23,45.66,40.08,40.22,46.59,43.82,45.46,47.46,50.08,47.12,48.32,51.78,46.6,48.91,56.66,49.84,50.54
757,Switzerland,57.09,59.35,60.26,57.05,52.18,55.71,54.59,58.88,56.64,58.95,55,54.69,54.12,55.52,51.39,54.15,55.11,54.9,55.97,53.18,58.26,57.75,56.63,60.71,60.36,61.58
792,Turkey,39.56,46.1,39.15,41.31,42.76,38.63,38.12,29.87,24.84,19.72,26.18,25.26,30.69,24.57,25.27,19.04,17.31,19.49,26.27,25.22,27.03,28.57,20.59,31.67,32.55,28.92
804,Ukraine,3.2,4.89,6.07,5.22,4.85,5.64,9.21,6.83,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.25,6,6.9,6.99,5.68,5.84,8.07,5.95,5.21,6.58,7.88
826,United Kingdom,2.23,1.84,2.11,2.03,1.55,1.8,2.1,2.47,2.31,1.93,2.25,1.82,2.39,2.7,3.19,3.58,4.21,4.83,4.47,6.74,8.1,10.61,13.25,16.78,16.51,20.79
840,United States,8.99,9.52,8.81,9.96,10.79,10.22,8.91,8.29,7.43,6.12,7.86,8.18,7.89,7.79,8.45,7.58,8.18,9.38,9.29,11.35,11.02,11.58,11.85,12.14,13.79,15.81
